14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/;test;CREATE,ISDIR
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/;test;OPEN,ISDIR
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/;test;ACCESS,ISDIR
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/;test;CLOSE_NOWRITE,CLOSE,ISDIR
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/;test2;CREATE,ISDIR
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/;test2;OPEN,ISDIR
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/;test2;ACCESS,ISDIR
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/;test2;CLOSE_NOWRITE,CLOSE,ISDIR
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/;test3;CREATE,ISDIR
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/;test3;OPEN,ISDIR
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/;test3;ACCESS,ISDIR
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/;test3;CLOSE_NOWRITE,CLOSE,ISDIR
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test/;a.txt;CREATE
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test/;a.txt;OPEN
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test/;a.txt;ATTRIB
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test/;a.txt;CLOSE_WRITE,CLOSE
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test/;a.txt;OPEN
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test/;a.txt;MODIFY
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test/;a.txt;CLOSE_WRITE,CLOSE
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test2/;a.txt;CREATE
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test2/;a.txt;OPEN
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test2/;a.txt;ATTRIB
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test2/;a.txt;CLOSE_WRITE,CLOSE
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test2/;a.txt;OPEN
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test2/;a.txt;MODIFY
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test2/;a.txt;CLOSE_WRITE,CLOSE
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test2/;a.txt;OPEN
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test2/;a.txt;ACCESS
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test2/;a.txt;CLOSE_NOWRITE,CLOSE
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test3/;a.txt;CREATE
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test3/;a.txt;OPEN
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test3/;a.txt;ATTRIB
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test3/;a.txt;CLOSE_WRITE,CLOSE
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test3/;a.txt;OPEN
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test3/;a.txt;MODIFY
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test3/;a.txt;CLOSE_WRITE,CLOSE
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test3/;a.txt;OPEN
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test3/;a.txt;ACCESS
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test3/;a.txt;CLOSE_NOWRITE,CLOSE
14:08:12;/home/runner/work/workflow-that-uses-base-action/workflow-that-uses-base-action/test3/;a.txt;DELETE